Unique_ID,AnimalName,AnimalClass,AnimalBreed,AnimalColour,AnimalGender,AnimalDesexed,locality,OBJECTID
1000,Scruff,Desexed/Pension/Microchipped,Shih Tzu,Black & White,M,Y,KLEMZIG,0
1001,Rusty,Pension,Kelpie,Black & Brown & White,M,N,KLEMZIG,1
1002,Flute,Standard,Blue Heeler,Blue,F,N,KLEMZIG,2
1003,Max,Pension,Blue Heeler,Unknown,M,N,KLEMZIG,3
1004,Milo,Desexed,Spoodle,Chocolate,M,Y,KLEMZIG,4
1005,Boomer,Desexed/Microchipped,Rottweiler,Brindle,M,Y,KLEMZIG,5
1006,Monty,Desexed/Pension/Microchipped,Maltese,White & Fawn,M,Y,KLEMZIG,6
1007,Karma,Concession,Boxer,Brown,M,N,KLEMZIG,7
1008,Jack,Desexed/Microchipped,Pug,Tan & Black,M,Y,KLEMZIG,8
1009,Terry,Pension,Tenterfield Terrier,Tan & White,M,N,WINDSOR GARDENS,9
1010,Duke,Microchipped,German Shepherd,Black & Gold,M,N,KILBURN,10
1011,Gus,Desexed/Microchipped,Rottweiler,Black & Tan,M,Y,WINDSOR GARDENS,11
1012,Bubble,Desexed/Microchipped,Cavoodle,Cream,F,Y,WINDSOR GARDENS,12
1013,Gema,Desexed/Pension/Microchipped,Boxer,Brown & Black,F,Y,WINDSOR GARDENS,13
1014,Oakie,Desexed/Concession/Microchipped,Bull Mastiff,Tan,F,Y,WINDSOR GARDENS,14
1015,Kele,Standard,Rottweiler,Tan & Black,M,N,WINDSOR GARDENS,15
1016,Brian,Desexed/Microchipped,Jack Russell Terrier,White & Brown,M,Y,WINDSOR GARDENS,16
1017,Minnie,Desexed/Microchipped,Miniature Pinscher,Blue & Tan,F,Y,WINDSOR GARDENS,17
1018,Diesel,Desexed/Pension/Microchipped,Pomeranian,Brown,M,Y,WINDSOR GARDENS,18
1019,Solo,Desexed/Pension/Microchipped,Pomeranian,Brown,M,Y,WINDSOR GARDENS,19
1020,Genghis Kahn,Desexed/Microchipped,Doberman,Black & Tan,M,Y,WINGFIELD,20
1021,Tigerlily,Desexed/Microchipped,Doberman,Black & Tan,F,Y,WINGFIELD,21
1022,Bindi,Desexed/Microchipped,Tenterfield Terrier,White,F,Y,WOODVILLE GARDENS,22
1023,Brax,Standard,German Shepherd,Tan & Brown,M,N,WOODVILLE GARDENS,23
1024,Stella,Standard,German Shepherd,Black & Tan,F,N,WOODVILLE GARDENS,24
1025,Ella,Desexed/Microchipped,Kelpie,Black,F,Y,BROADVIEW,25
