RowNumber,AnimalName,AnimalGender,AnimalBirthMonth,BreedName,Borough,ZipCode,CommunityDistrict,CensusTract2010,NTA,CityCouncilDistrict,CongressionalDistrict,StateSenatorialDistrict,LicenseIssuedDate,LicenseExpiredDate
47793,SACHI,F,10/1/06 0:00,Chow Chow,Queens,11385,405,637,QN19,30,6,15,1/15/16,2/12/17
48071,NIKO,M,10/1/13 0:00,Pug,Queens,11357,407,991,QN49,19,3,11,1/17/16,3/2/17
50583,GOGO,F,4/1/08 0:00,Pug,Manhattan,10003,102,59,MN23,2,12,27,2/2/16,4/5/17
52086,KAI,M,9/1/07 0:00,Unknown,Bronx,10456,203,151,BX35,17,15,32,2/9/16,2/21/17
52822,MAX ,M,1/1/04 0:00,Unknown,Bronx,10473,209,28,BX09,17,15,32,2/12/16,12/30/16
52932,CUPIA,M,1/1/07 0:00,Maltese,Queens,11105,401,105,QN72,22,14,13,2/13/16,4/22/17
54241,MITTENS,F,12/1/10 0:00,Basenji,Manhattan,10065,108,116,MN31,5,12,28,2/20/16,4/18/17
54483,OLIVER ,M,3/1/10 0:00,Havanese,Manhattan,10035,111,198,MN34,9,13,30,2/22/16,2/22/19
55437,SALLY,F,9/1/08 0:00,Pug,Manhattan,10003,102,61,MN23,2,12,27,2/26/16,3/17/17
58027,FENDI ,F,9/1/09 0:00,Shih Tzu,Brooklyn,11224,313,342,BK21,47,8,23,3/10/16,4/3/17
58267,MAGGIE,F,11/1/07 0:00,Unknown,Queens,11378,405,66701,QN21,30,6,15,3/11/16,3/20/17
60758,GULL ,F,9/1/05 0:00,Unknown,Brooklyn,11229,315,568,BK44,46,9,22,3/23/16,3/30/17
61685,ZEUS,M,1/1/11 0:00,Unknown,Brooklyn,11230,314,764,BK42,45,9,17,3/28/16,12/19/16
61933,DU ,M,2/1/10 0:00,Unknown,Queens,11375,406,747,QN17,29,6,16,3/29/16,5/10/17
62433,KATIE,F,3/1/07 0:00,Chihuahua,Brooklyn,11215,306,133,BK37,39,7,25,3/30/16,5/29/17
62647,SEBASTIAN,M,8/1/13 0:00,Shih Tzu,Queens,11368,404,413,QN25,21,14,13,4/1/16,3/1/17
63181,ROSCOE,M,4/1/08 0:00,Pug,Bronx,10464,210,516,BX10,13,14,34,4/4/16,5/29/17
63299,BELLA,F,11/1/12 0:00,Pug,Brooklyn,11209,310,64,BK31,43,11,22,4/4/16,4/18/17
63577,RUBY ,F,4/1/04 0:00,Maltese,Queens,11429,413,582,QN34,27,5,14,4/6/16,5/20/17
63826,FINIAN,M,5/1/09 0:00,Chow Chow,Manhattan,10011,102,63,MN23,3,10,27,4/7/16,3/3/17
64325,ROCCO,M,12/1/13 0:00,Akita,Queens,11372,403,277,QN28,25,14,13,4/8/16,4/8/17
64448,UNKNOWN,F,12/1/15 0:00,Unknown,Manhattan,10031,109,229,MN04,7,13,31,4/9/16,4/9/17
64548,DINO,M,11/1/10 0:00,Pug,Bronx,10462,209,92,BX59,18,14,34,4/10/16,3/20/18
65159,MARKO,M,5/1/09 0:00,Pug,Bronx,10465,210,164,BX52,13,14,34,4/12/16,11/19/16
65652,JUICY,F,11/1/13 0:00,Maltese,Brooklyn,11235,315,59401,BK17,48,9,22,4/15/16,4/15/17
66254,GIZMO ,M,1/1/00 0:00,Pug,Queens,11103,401,163,QN70,22,14,12,4/18/16,5/30/17
