License Issue Date,License Number,Animal's Name,Species,Primary Breed,Secondary Breed,ZIP Code
November 11 2018,S124529,Andre,Dog,Jack Russell Terrier,Dachshund,98117
November 21 2018,903793,Mac,Dog,Labrador Retriever,,98136
December 16 2018,S138529,Cody,Dog,Labrador Retriever,,98103
December 23 2018,961052,Sabre,Dog,Terrier,,98126
December 15 2018,S138838,Milo,Dog,Boxer,Labrador Retriever,98109
November 27 2018,S123980,Anubis,Dog,Standard Poodle,,98112
October 25 2018,830506,Skylar,Dog,Border Collie,Airedale Terrier,98144
October 23 2018,S137719,Cleo,Dog,Bernese Mountain Dog,Spaniel,98107
November 07 2018,905090,Petey,Dog,Pomeranian,Shih Tzu,98119
December 24 2018,S152290,Kaia,Dog,Karelian Bear Dog,,98117
December 27 2018,8004142,Maya,Dog,Chihuahua,,98126
November 18 2018,835221,Shirley,Dog,Australian Shepherd,Golden Retriever,98144
November 30 2018,904438,Jacob,Dog,German Shepherd,Rottweiler,98199
November 06 2018,8002506,Linkin,Dog,Vizsla,,98105
December 02 2018,829922,Gracie,Dog,Fox Terrier,,98118
November 08 2018,S138040,Chobo,Dog,Toy Poodle,,98115
December 11 2018,899919,Macy,Dog,Border Collie,,98133
November 09 2018,S116017,Morris,Dog,Labrador Retriever,Miniature Poodle,98122
November 03 2018,359291,Channing,Dog,Labrador Retriever,American Pit Bull Terrier,98122
December 29 2018,S151195,Duke,Dog,Basset Hound,,98103
October 19 2018,8002022,Harper,Dog,Pomeranian,Chihuahua,98102
December 16 2018,8003889,Plucky,Dog,American Cocker Spaniel,Toy Poodle,98116
December 11 2018,951547,Angel,Dog,Miniature Poodle,Bichon Frise,98106
December 11 2018,8003727,Fenway,Dog,Golden Retriever,,98126
December 05 2018,901022,Zoe,Dog,Golden Retriever,,98177
October 24 2018,S146795,Trooper,Dog,Yorkshire Terrier,Miniature Poodle,98117
December 15 2018,8003848,Thom,Dog,Toy Poodle,,98108
December 20 2018,S138281,Tikka,Dog,Retriever,Siberian Husky,98122
November 30 2018,8003378,Kidalee Divey,Dog,Labrador Retriever,Rhodesian Ridgeback,98106
October 24 2018,8002180,Hermes,Dog,Coton de Tulear,,98109
December 21 2018,S138875,Jean Paul,Dog,Standard Poodle,,98117
November 06 2018,S121644,Oliver,Dog,Rhodesian Ridgeback,,98118
December 05 2018,S151160,Patsy,Dog,Border Terrier,Miniature Schnauzer,98106
December 26 2018,904550,Ruby,Dog,Cardigan Welsh Corgi,Shepherd,98117
December 16 2018,8003870,Ella,Dog,Labrador Retriever,,98133
December 27 2018,901602,Rocket,Dog,Labrador Retriever,,98119
November 06 2018,S124519,Gabby,Dog,Labrador Retriever,Hound,98115
October 27 2018,S146767,Willow,Dog,Golden Retriever,,98107
November 01 2018,8002373,Georgie,Dog,Golden Retriever,Golden Retriever,98101
December 18 2018,8003956,Hoover,Dog,Siberian Husky,Retriever,98102
December 20 2018,8004011,Ro Ro,Dog,Siberian Husky,,98103
November 28 2018,443413,Eve,Dog,Beagle,,98119
November 30 2018,900776,Izzy,Dog,Chihuahua,,98133
December 11 2018,8003742,Mushu,Dog,Yorkshire Terrier,Maltese,98116
December 08 2018,8003638,Porter,Dog,Labrador Retriever,,98103
November 20 2018,S152232,Sue,Dog,Miniature Long Haired Dachshund,Pug,98133
December 26 2018,8004132,Mala,Dog,Labrador Retriever,American Pit Bull Terrier,98103
November 25 2018,S120480,Charlie,Dog,Labrador Retriever,German Shorthaired Pointer,98107
December 31 2018,S138905,Whisky,Dog,Jack Russell Terrier,Chihuahua,98136
November 17 2018,8002774,Bowie,Dog,Siberian Husky,Alaskan Malamute,98136
November 01 2018,8002366,Coco Bella,Dog,Miniature Poodle,Bichon Frise,98115
December 06 2018,S127069,Buddy,Dog,Jack Russell Terrier,,98122
December 21 2018,S139101,Cocoa,Dog,Lhasa Apso,,98146
October 22 2018,S136962,Gretel,Dog,Brussels Griffon,,98122
October 24 2018,S121931,Archie,Dog,Irish Setter,,98118
December 18 2018,8003951,Nellie,Dog,Labrador Retriever,,98199
November 30 2018,S148180,Nigel,Dog,Cavalier King Charles Spaniel,Miniature Poodle,98144
