License Issue Date,License Number,Animal's Name,Species,Primary Breed,Secondary Breed,ZIP Code
November 16 2018,8002756,Wall-E,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",Mix,98108
November 11 2018,S124529,Andre,Dog,"Terrier, Jack Russell","Dachshund, Standard Wire Haired",98117
November 21 2018,903793,Mac,Dog,"Retriever, Labrador",,98136
December 16 2018,S138529,Cody,Dog,"Retriever, Labrador",,98103
December 23 2018,961052,Sabre,Dog,Terrier,,98126
December 07 2018,S125461,Thomas,Dog,"Chihuahua, Short Coat",Mix,98177
November 07 2018,8002543,Lulu,Dog,"Vizsla, Smooth Haired",Mix,98105
December 15 2018,S138838,Milo,Dog,Boxer,"Retriever, Labrador",98109
November 27 2018,S123980,Anubis,Dog,"Poodle, Standard",,98112
October 25 2018,830506,Skylar,Dog,Border Collie,"Terrier, Airedale",98144
October 23 2018,S137719,Cleo,Dog,Bernese Mountain Dog,Spaniel,98107
November 07 2018,905090,Petey,Dog,Pomeranian,Shih Tzu,98119
December 24 2018,S152290,Kaia,Dog,Karelian Bear Dog,,98117
December 27 2018,8004142,Maya,Dog,"Chihuahua, Short Coat",,98126
November 18 2018,835221,Shirley,Dog,Australian Shepherd,"Retriever, Golden",98144
October 18 2018,S101544,Diesel,Dog,Shepherd,Mix,98118
November 30 2018,904438,Jacob,Dog,German Shepherd,Rottweiler,98199
November 06 2018,8002506,Linkin,Dog,"Vizsla, Smooth Haired",,98105
December 02 2018,829922,Gracie,Dog,"Terrier, Fox, Smooth",,98118
November 08 2018,S138040,Chobo,Dog,"Poodle, Toy",,98115
December 11 2018,899919,Macy,Dog,Border Collie,,98133
November 01 2018,S118041,Billy,Dog,"Dachshund, Standard Long Haired",Mix,98146
November 09 2018,S116017,Morris,Dog,"Retriever, Labrador","Poodle, Miniature",98122
November 03 2018,359291,Channing,Dog,"Retriever, Labrador","Terrier, American Pit Bull",98122
December 29 2018,S151195,Duke,Dog,Basset Hound,,98103
November 08 2018,8002583,Daisy Mae,Dog,"Terrier, Tibetan",Mix,98144
November 06 2018,899399,Millie,Dog,Australian Cattle Dog,Mix,98102
October 19 2018,8002022,Harper,Dog,Pomeranian,"Chihuahua, Short Coat",98102
December 16 2018,8003889,Plucky,Dog,"Spaniel, American Cocker","Poodle, Toy",98116
December 26 2018,956809,Ulu,Dog,Australian Shepherd,Mix,98118
December 11 2018,951547,Angel,Dog,"Poodle, Miniature",Bichon Frise,98106
December 11 2018,8003727,Fenway,Dog,"Retriever, Golden",,98126
December 05 2018,901022,Zoe,Dog,"Retriever, Golden",,98177
October 24 2018,S146795,Trooper,Dog,"Terrier, Yorkshire","Poodle, Miniature",98117
December 15 2018,8003848,Thom,Dog,"Poodle, Toy",,98108
December 20 2018,S138281,Tikka,Dog,Retriever,Siberian Husky,98122
November 30 2018,8003378,Kidalee Divey,Dog,"Retriever, Labrador",Rhodesian Ridgeback,98106
October 24 2018,8002180,Hermes,Dog,Coton de Tulear,,98109
December 21 2018,S138875,Jean Paul,Dog,"Poodle, Standard",,98117
November 06 2018,S121644,Oliver,Dog,Rhodesian Ridgeback,,98118
December 05 2018,S151160,Patsy,Dog,"Terrier, Border","Schnauzer, Miniature",98106
December 26 2018,904550,Ruby,Dog,"Welsh Corgi, Cardigan",Shepherd,98117
December 16 2018,8003870,Ella,Dog,"Retriever, Labrador",,98133
October 28 2018,825985,Roxy,Dog,Terrier,Mix,98116
December 27 2018,901602,Rocket,Dog,"Retriever, Labrador",,98119
December 11 2018,8003740,Milli,Dog,"Retriever, Labrador",Mix,98102
November 06 2018,S124519,Gabby,Dog,"Retriever, Labrador",Hound,98115
October 27 2018,S146767,Willow,Dog,"Retriever, Golden",,98107
November 01 2018,8002373,Georgie,Dog,"Retriever, Golden","Retriever, Golden",98101
December 18 2018,8003956,Hoover,Dog,Siberian Husky,Retriever,98102
December 20 2018,8004011,Ro Ro,Dog,Siberian Husky,,98103
October 29 2018,S122591,Lexi Aine,Dog,Terrier,Mix,98199
November 28 2018,443413,Eve,Dog,Beagle,,98119
November 30 2018,900776,Izzy,Dog,"Chihuahua, Short Coat",,98133
December 11 2018,8003742,Mushu,Dog,"Terrier, Yorkshire",Maltese,98116
December 08 2018,8003638,Porter,Dog,"Retriever, Labrador",,98103
November 20 2018,S152232,Sue,Dog,"Dachshund, Miniature Long Haired",Pug,98133
December 26 2018,8004132,Mala,Dog,"Retriever, Labrador","Terrier, American Pit Bull",98103
November 25 2018,S120480,Charlie,Dog,"Retriever, Labrador","Pointer, German Shorthaired",98107
December 31 2018,S138905,Whisky,Dog,"Terrier, Jack Russell","Chihuahua, Short Coat",98136
November 17 2018,8002774,Bowie,Dog,Siberian Husky,Alaskan Malamute,98136
November 01 2018,8002366,Coco Bella,Dog,"Poodle, Miniature",Bichon Frise,98115
December 01 2018,S150148,Kiki,Dog,Terrier,Mix,98136
December 06 2018,S127069,Buddy,Dog,"Terrier, Jack Russell",,98122
November 18 2018,8002861,Corky,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",Mix,98125
December 21 2018,S139101,Cocoa,Dog,Lhasa Apso,,98146
October 22 2018,S136962,Gretel,Dog,"Griffon, Brussels",,98122
October 24 2018,S121931,Archie,Dog,"Setter, Irish",,98118
November 12 2018,8002666,King,Dog,Shepherd,Mix,98105
December 19 2018,964368,Jerri,Dog,Terrier,Mix,98122
December 18 2018,8003951,Nellie,Dog,"Retriever, Labrador",,98199
November 30 2018,S148180,Nigel,Dog,"Spaniel, Cavalier King Charles","Poodle, Miniature",98144
October 27 2018,8002241,Roxy,Dog,Australian Shepherd,Mix,98112
November 05 2018,8002460,Andre,Dog,"Bulldog, French",,98115
November 17 2018,835009,Bruno,Dog,"Retriever, Labrador",Border Collie,98146
October 21 2018,8002105,Grace,Dog,Brittany,,98122
December 12 2018,8003760,Otis,Dog,"Welsh Corgi, Cardigan",Mix,98115
October 31 2018,730648,Louie,Dog,"Chihuahua, Long Coat",Schipperke,98108
December 05 2018,8003514,Quinn,Dog,"Coonhound, Redbone","Retriever, Labrador",98102
November 03 2018,829563,Max,Dog,"Retriever, Labrador",Mix,98117
November 20 2018,S111397,Impact,Dog,"Terrier, American Pit Bull",,98126
December 28 2018,S108739,Gus,Dog,"Chihuahua, Short Coat","Dachshund, Standard Smooth Haired",98178
November 01 2018,8002382,Rocky,Dog,"Terrier, Jack Russell","Chihuahua, Short Coat",98199
November 28 2018,S124210,Garrett,Dog,"Retriever, Labrador",Mix,98109
December 29 2018,S138493,Olive,Dog,"Terrier, Cairn",Terrier,98106
November 21 2018,8003098,Spud,Dog,Pomeranian,Mix,98108
November 18 2018,829609,Treva,Dog,"Retriever, Golden",,98112
December 01 2018,8003421,Suzie,Dog,"Retriever, Labrador",,98115
November 30 2018,S150131,Cameo,Dog,"Retriever, Golden",,98177
November 25 2018,8003215,Desmond,Dog,"Dachshund, Standard Smooth Haired","Terrier, Jack Russell",98106
November 15 2018,904458,Dingle Jr.,Dog,Xoloitzcuintli,,98126
December 30 2018,8004225,Diego,Dog,"Australian Shepherd, Miniature",,98103
November 07 2018,905186,Scout,Dog,Shepherd,Mix,98119
December 15 2018,S108802,Ashley,Dog,Shih Tzu,,98104
November 24 2018,8003164,Abby,Dog,Greyhound,,98116
November 27 2018,S151131,Lulu,Dog,Terrier,Bulldog,98116
December 06 2018,960597,Rocky,Dog,Siberian Husky,German Shepherd,98103
December 12 2018,S138878,Sammy,Dog,Basenji,,98106
December 07 2018,960466,Tito,Dog,Havanese,Shih Tzu,98116
November 20 2018,902024,Mylo,Dog,"Terrier, Boston",,98116
November 10 2018,8002621,SAM Howdy,Dog,Australian Cattle Dog,,98133
December 10 2018,8003682,Ava,Dog,"Terrier, American Pit Bull",Mix,98107
December 16 2018,S138540,Eliott,Dog,"Terrier, American Pit Bull",Boxer,98106
November 16 2018,137419,D'Artagnan,Dog,Belgian Sheepdog,,98103
December 12 2018,8003773,Theodore Shadow Box,Dog,Terrier,Mix,98122
December 13 2018,955156,Otis,Dog,"Terrier, Airedale",,98103
October 31 2018,8002342,Cash,Dog,"Bulldog, French",,98122
November 21 2018,8003071,Ruby,Dog,"Terrier, Boston","Bulldog, French",98136
November 20 2018,8003046,Peanut,Dog,Hound,Mix,98136
November 03 2018,8002418,Rudie,Dog,"Terrier, Pit Bull","Retriever, Labrador",98115
October 27 2018,8002248,Cooper,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",Mix,98115
October 25 2018,S152172,Eva,Dog,Havanese,,98115
December 15 2018,8003868,Buddy,Dog,Rhodesian Ridgeback,,98105
November 27 2018,S137272,Oscar,Dog,"Poodle, Miniature",Australian Shepherd,98136
October 20 2018,835204,Madison,Dog,Havanese,,98112
November 12 2018,902070,Baron,Dog,Bernese Mountain Dog,,98109
November 16 2018,904200,Coco,Dog,"Terrier, American Pit Bull",,98118
October 20 2018,8002066,Ember,Dog,"Retriever, Labrador",Mix,98136
December 14 2018,960540,Winston,Dog,"Dachshund, Standard Long Haired",,98117
November 20 2018,8003048,Willie Nelson,Dog,"Retriever, Golden",,98136
November 18 2018,831783,Leo,Dog,"Chihuahua, Short Coat","Dachshund, Standard Smooth Haired",98136
December 20 2018,S108772,Reggie,Dog,Entlebucher Mountain Dog,,98102
December 29 2018,S122847,Houston,Dog,"Mixed Breed, Large (over 44 lbs fully grown)",Mix,98102
November 24 2018,S146590,Lulu,Dog,"Poodle, Miniature",Mix,98144
December 31 2018,S136666,Mister,Dog,Pug,"Bulldog, French",98102
November 07 2018,S135487,River,Dog,"Spaniel, Tibetan",Shetland Sheepdog,98144
October 28 2018,S137119,Angus,Dog,"Retriever, Golden",,98117
November 29 2018,S150112,Pippa,Dog,Pomeranian,"Retriever, Golden",98116
December 23 2018,S124109,Dilly,Dog,"Chihuahua, Short Coat","Dachshund, Standard Smooth Haired",98117
December 29 2018,900461,Chanel,Dog,Papillon,,98116
December 14 2018,8003840,Polly,Dog,"Poodle, Miniature",,98103
December 10 2018,S107438,Sophia,Dog,Dalmatian,Mix,98103
December 18 2018,S152280,Beanie,Dog,"Chihuahua, Short Coat",Mix,98108
October 28 2018,8002259,Linus Pawling,Dog,Miniature Pinscher,"Dachshund, Miniature Smooth Haired",98115
November 26 2018,834841,Daisy,Dog,"Terrier, American Pit Bull",,98133
October 20 2018,S101165,Meekoo,Dog,"Chihuahua, Short Coat",Mix,98144
October 26 2018,826390,Mia,Dog,"Retriever, Golden",,98115
October 26 2018,728471,Nellie,Dog,Border Collie,,98103
December 13 2018,8003804,Charlie,Dog,Border Collie,Mix,98117
November 15 2018,829732,Sierra,Dog,Australian Cattle Dog,,98106
November 12 2018,8002679,Marley,Dog,"Retriever, Golden",,98125
November 19 2018,8002969,Angel,Dog,"Chihuahua, Short Coat","Chihuahua, Short Coat",98116
December 23 2018,901692,Jazmine,Dog,"Retriever, Labrador",Border Collie,98103
November 23 2018,8003125,Hazel,Dog,German Shepherd,,98144
December 01 2018,S125321,Murphy,Dog,Pug,Beagle,98122
November 30 2018,S132414,Bellamy,Dog,Argentine Dogo,Mix,98105
December 13 2018,729282,Pippi Longstocking,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",,98144
November 21 2018,S148159,Unknown,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",Mix,98101
October 27 2018,S139160,Sasha,Dog,"Terrier, American Pit Bull","Retriever, Labrador",98144
November 10 2018,S124727,Maddie,Dog,"Retriever, Golden","Retriever, Labrador",98103
December 14 2018,960199,Kellee,Dog,"Retriever, Labrador",,98115
October 24 2018,S120871,Tum Tum,Dog,"Terrier, American Pit Bull",,98118
December 20 2018,8004010,Piper,Dog,"Retriever, Nova Scotia Duck Tolling",,98117
December 27 2018,8004144,Ford,Dog,"Mixed Breed, Large (over 44 lbs fully grown)",Mix,98133
December 21 2018,8004021,Leila,Dog,Border Collie,"Retriever, Flat-Coated",98103
December 24 2018,8004117,Tulio,Dog,"Retriever, Golden",,98105
December 14 2018,S131524,Leela,Dog,"Retriever, Labrador",,98144
November 27 2018,S104885,Maya,Dog,"Terrier, Jack Russell","Terrier, Cairn",98102
October 19 2018,21434,Jasper,Dog,"Terrier, American Pit Bull","Retriever, Labrador",98136
October 19 2018,8002026,Leopold,Dog,Papillon,,98199
December 02 2018,8003439,Klaus,Dog,"Retriever, Labrador",,98136
September 17 2018,730620,Fredo,Dog,"Chihuahua, Short Coat",,98136
November 20 2018,8003034,LUCY,Dog,"Chihuahua, Short Coat",Shiba Inu,98116
November 27 2018,8003303,Kodiak,Dog,Alaskan Malamute,German Shepherd,98102
