,Breed,Turcsan,Coren
0,Akita,"('Bavarian Mountain Hound', 54)",
1,Bernese Mountain Dog,,
2,Bloodhound,"('Ibizan Hound', 55)",
3,Borzoi,"('Boxer', 55)",
4,Bullmastiff,"('Staffordshire Bull Terrier', 62)",
5,Great Dane,,
6,Great Pyrenees,"('Great Dane', 67)",
7,Greater Swiss Mountain Dog,,"('Bernese Mountain Dog', 71)"
8,Irish Wolfhound,,
9,Kuvasz,"('Jack Russell Terrier', 45)",
10,Otter Hound,"('Bavarian Mountain Hound', 86)",
11,Rottweiler,,
12,Afghan Hound,"('Bavarian Mountain Hound', 86)",
13,Alaskan Malamute,,
14,American Foxhound,"('American Staffordshire Terrier', 86)",
15,Beauceron,,"('Beagle', 60)"
16,Belgian Malinois,,
17,Belgian Sheepdog,"('Shetland Sheepdog', 79)",
18,Belgian Tervuren,"('Tibetan Terrier', 65)","('Bedlington Terrier', 65)"
19,Black and Tan Coonhound,"('Ibizan Hound', 65)",
20,Black Russian Terrier,"('Border Terrier', 86)","('Fox Terrier', 86)"
21,Bouvier des Flandres,"('Pointer', 51)",
22,Boxer,,
23,Briard,,
24,Chesapeake Bay Retriever,"('Golden Retriever', 86)",
25,Clumber Spaniel,"('American Cocker Spaniel', 86)",
26,Curly Coated Retriever,"('Flat-Coated Retriever', 84)",
27,Doberman Pinscher,,
28,English Foxhound,"('Irish Wolfhound', 65)",
29,English Setter,,
30,German Shepherd,,
31,German Shorthaired Pointer,,
32,German Wirehaired Pointer,,
33,Giant Schnauzer,,
34,Golden Retriever,,
35,Gordon Setter,,
36,Greyhound,"('Appenzeller Sennenhund', 50)",
37,Irish Setter,,
38,Komondor,"('Kromfohrlander', 64)","('Norwegian Elkhound', 53)"
39,Labrador Retriever,"('Labrador Retriever Leonberger', 90)",
40,Old English Sheepdog,,
41,Poodle,,
42,Miniature Poodle,,"('Poodle', 90)"
43,Toy Poodle,"('Poodle', 90)","('Poodle', 90)"
44,Lhasa Apso,,
45,Jack Russell Terrier,,
46,Pekingese,,
47,Maltese,,
48,Brittany,,
49,Newfoundland,"('Bernese Mountain Dog', 52)",
50,Saint Bernard,,
51,Pomeranian,"('Boxer', 54)",
52,Dalmatian,,
53,Chihuahua,,
54,Rhodesian Ridgeback,,
55,Scottish Deerhound,"('Irish Wolfhound', 55)",
56,Spinone Italiano,"('Australian Shepherd', 54)","('Akita', 54)"
57,Tibetan Mastiff,"('Tibetan Terrier', 67)","('Mastiff', 90)"
58,Weimaraner,,
59,Airedale Terrier,,
60,American Staffordshire Terrier,,
61,American Water Spaniel,"('American Cocker Spaniel', 84)",
62,Australian Cattle Dog,"('Australian Shepherd', 66)",
63,Australian Shepherd,,
64,Basset Hound,"('Bavarian Mountain Hound', 86)",
65,Bearded Collie,,
66,Border Collie,,
67,Bulldog,,
68,Bull Terrier,,
69,Canaan Dog,"('Greater Swiss Mountain Dog', 86)","('Australian Cattle Dog', 86)"
70,Shar Pei,,
71,Chow Chow,"('Hovawart', 48)",
72,Cocker Spaniel,"('American Cocker Spaniel', 90)",
73,English Springer Spaniel,"('English Setter', 86)",
74,Field Spaniel,"('American Cocker Spaniel', 86)",
75,Flat-Coated Retriever,,
76,Finnish Spitz,"('German Spitz', 56)",
77,Ibizan Hound,,
78,Irish Terrier,,
79,Irish Water Spaniel,"('Irish Setter', 86)",
80,Keeshond,"('Dachshund', 47)",
81,Kerry Blue Terrier,"('Bull Terrier', 86)",
82,Norwegian Elkhound,"('Ibizan Hound', 68)",
83,Nova Scotia Duck Tolling Retriever,"('Golden Retriever', 86)","('Curly Coated Retriever', 86)"
84,Petit Basset Griffon Vendeen,"('Gordon Setter', 53)",
85,Pharaoh Hound,"('Bavarian Mountain Hound', 86)",
86,Plott Hound,"('Bavarian Mountain Hound', 86)","('Otter Hound', 82)"
87,Pointer,,
88,Polish Lowland Sheepdog,,"('Shetland Sheepdog', 75)"
89,Portuguese Water Dog,"('Pug', 60)",
90,Redbone Coonhound,"('Ibizan Hound', 55)","('Black and Tan Coonhound', 66)"
91,Saluki,"('Australian Shepherd', 60)",
92,Siberian Husky,,
93,Soft-Coated Wheaten Terrier,,
94,Staffordshire Bull Terrier,,
