,index,License Issue Date,License Number,Animal's Name,Species,Secondary Breed,ZIP Code,Obedient,Calm,Trainable,Sociable,Bold
0,Affenpinscher,April 18 2018,210596,Poirot,Dog,,98102,0.7,,,,
1,Affenpinscher,March 21 2018,126404,Lucky,Dog,,98104,0.7,,,,
2,Afghan Hound,July 23 2018,S119455,Asteria,Dog,,98122,0.1,,,,
3,Afghan Hound,May 01 2018,141025,Abby,Dog,,98138,0.1,,,,
4,Afghan Hound,July 23 2018,S119454,Atlas,Dog,,98122,0.1,,,,
5,Afghan Hound,May 31 2018,139371,Luca,Dog,,98108,0.1,,,,
6,Airedale Terrier,December 13 2018,955156,Otis,Dog,,98103,0.7,1.0,0.5,1.0,1.0
7,Airedale Terrier,November 06 2018,903738,Winston,Dog,,98101,0.7,1.0,0.5,1.0,1.0
8,Airedale Terrier,November 14 2018,903865,Hogan,Dog,,98125,0.7,1.0,0.5,1.0,1.0
9,Airedale Terrier,October 31 2018,S122731,Daisy,Dog,Golden Retriever,98133,0.7,1.0,0.5,1.0,1.0
10,Airedale Terrier,November 01 2018,8002383,Ellie,Dog,,98102,0.7,1.0,0.5,1.0,1.0
11,Airedale Terrier,December 22 2018,S138765,Chimichurri,Dog,,98109,0.7,1.0,0.5,1.0,1.0
12,Airedale Terrier,November 25 2018,831829,Daisy,Dog,,98117,0.7,1.0,0.5,1.0,1.0
13,Airedale Terrier,November 15 2018,901063,Lucy,Dog,Labrador Retriever,98107,0.7,1.0,0.5,1.0,1.0
14,Airedale Terrier,October 26 2018,829335,Nani,Dog,,98199,0.7,1.0,0.5,1.0,
15,Airedale Terrier,December 20 2018,960647,Maddie Mae,Dog,,98112,0.7,1.0,0.5,1.0,
16,Airedale Terrier,December 26 2018,8004137,Palmer,Dog,,98199,0.7,1.0,0.5,1.0,
17,Airedale Terrier,November 26 2018,903207,Maggie,Dog,,98116,0.7,1.0,0.5,1.0,
18,Airedale Terrier,October 27 2018,S113778,Atlas,Dog,,98199,0.7,1.0,0.5,1.0,
19,Airedale Terrier,December 31 2018,8004256,Darwin,Dog,,98116,0.7,1.0,0.5,1.0,
20,Airedale Terrier,March 20 2018,139797,Sophie May,Dog,,98177,0.7,1.0,0.5,1.0,
21,Airedale Terrier,June 20 2018,142879,Oliver,Dog,,98122,0.7,1.0,0.5,1.0,
22,Airedale Terrier,August 04 2018,581276,Harvey,Dog,,98144,0.7,1.0,0.5,1.0,
23,Airedale Terrier,February 12 2018,80353,Rory,Dog,,98126,0.7,1.0,0.5,1.0,
24,Airedale Terrier,July 31 2018,S116242,Bosley,Dog,,98118,0.7,1.0,0.5,1.0,
25,Airedale Terrier,May 22 2018,S128112,Luna,Dog,,98115,0.7,1.0,0.5,1.0,
26,Airedale Terrier,August 02 2018,S147625,Ellie,Dog,Pharaoh Hound,98117,0.7,1.0,0.5,1.0,
27,Airedale Terrier,May 01 2018,S143363,Max,Dog,,98117,0.7,1.0,0.5,1.0,
28,Airedale Terrier,April 10 2018,206213,Nootka,Dog,,98115,0.7,1.0,0.5,1.0,
29,Airedale Terrier,April 17 2018,S142890,Violet,Dog,Siberian Husky,98118,0.7,1.0,0.5,1.0,
30,Airedale Terrier,September 24 2018,355925,Darby,Dog,,98119,0.7,1.0,0.5,1.0,
31,Airedale Terrier,April 26 2018,S143259,Wally,Dog,Hound,98115,0.7,1.0,0.5,1.0,
32,Airedale Terrier,July 02 2018,S145513,Dash,Dog,Irish Wolfhound,98106,0.7,1.0,0.5,1.0,
33,Airedale Terrier,May 15 2018,S143752,Juneau,Dog,Standard Poodle,98116,0.7,1.0,0.5,1.0,
34,Airedale Terrier,April 19 2018,S127584,Archer,Dog,Hound,98118,0.7,1.0,0.5,1.0,
35,Airedale Terrier,March 20 2018,139795,Dave,Dog,,98177,0.7,1.0,0.5,1.0,
36,Airedale Terrier,September 03 2018,S120963,Gizmo,Dog,,98126,0.7,1.0,0.5,1.0,
37,Airedale Terrier,July 31 2018,S116243,Monty,Dog,,98118,0.7,1.0,0.5,1.0,
38,Airedale Terrier,August 25 2018,8000355,Charlie Brown,Dog,,98136,0.7,1.0,0.5,1.0,
39,Airedale Terrier,July 13 2018,211845,Tank,Dog,,98103,0.7,1.0,0.5,1.0,
40,Airedale Terrier,October 17 2018,8001965,RUPERT,Dog,,98125,0.7,1.0,0.5,1.0,
41,Airedale Terrier,October 10 2018,S136964,Ri,Dog,Alaskan Husky,98112,0.7,1.0,0.5,1.0,
42,Airedale Terrier,June 23 2018,S114871,Wallace,Dog,Labrador Retriever,98144,0.7,1.0,0.5,1.0,
43,Airedale Terrier,August 30 2018,S115950,Felix,Dog,,98103,0.7,1.0,0.5,1.0,
44,Airedale Terrier,October 06 2018,831354,Chester,Dog,,98136,0.7,1.0,0.5,1.0,
45,Airedale Terrier,October 11 2018,S135838,Ketch,Dog,,98116,0.7,1.0,0.5,1.0,
46,Airedale Terrier,April 13 2018,S105157,Duchess Lacy van Notendale,Dog,,98199,0.7,1.0,0.5,1.0,
47,Airedale Terrier,October 17 2018,S123677,morgan4c27435168b,Dog,,98115,0.7,1.0,0.5,1.0,
48,Airedale Terrier,October 12 2018,S137130,Maisie,Dog,,98109,0.7,1.0,0.5,1.0,
49,Airedale Terrier,March 27 2018,S116150,Artie,Dog,,98105,0.7,1.0,0.5,1.0,
50,Airedale Terrier,September 05 2018,S120971,Maggie,Dog,,98107,0.7,1.0,0.5,1.0,
51,Airedale Terrier,July 26 2018,585247,Maggie,Dog,,98117,0.7,1.0,0.5,1.0,
52,Airedale Terrier,July 24 2018,S103581,Hops,Dog,,98126,0.7,1.0,0.5,1.0,0.5
53,Akbash,November 03 2018,835066,Sully,Dog,,98106,,,,,
54,Akbash,June 05 2018,S144406,Yeti,Dog,,98125,,,,,
55,Akbash,February 20 2018,S140667,Soappy,Dog,,98178,,,,,
56,Akita,November 03 2018,S122687,Eva,Dog,,98117,0.5,,,,
57,Akita,December 02 2018,835072,Dakota,Dog,,98136,0.5,,,,
58,Akita,November 05 2018,S124466,Toba,Dog,,98126,0.5,,,,
59,Akita,November 06 2018,S122407,Gizmo,Dog,German Shepherd,98112,0.5,,,,
60,Akita,November 05 2018,S135408,Bear,Dog,,98103,0.5,,,,
61,Akita,December 20 2018,S109090,Denali,Dog,,98115,0.5,,,,
62,Akita,November 06 2018,903832,Sara,Dog,Boxer,98115,0.5,,,,
63,Akita,December 24 2018,S152291,Neo,Dog,,98126,0.5,,,,
64,Akita,January 19 2018,S139655,Himba,Dog,Chow Chow,98103,0.5,,,,
65,Akita,August 29 2018,S145972,Momo,Dog,,98118,0.5,,,,
66,Akita,June 22 2018,S144364,Desi,Dog,American Staffordshire Terrier,98144,0.5,,,,
67,Akita,April 03 2018,137235,Biggie,Dog,,98146,0.5,,,,
68,Akita,April 24 2018,S111543,Koda,Dog,,98118,0.5,,,,
69,Akita,July 18 2018,S146601,Rambo Buddy,Dog,Terrier,98106,0.5,,,,
70,Akita,January 06 2018,S139259,Lu,Dog,,98199,0.5,,,,
